                           1                            2                            3                            4 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days 
                       10398      1.0000000000000000E+000      9.4999999999999996E-001      4.0000000000000000E+002 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48 
                    model_number                              age                      period_days                binary_separation                     eccentricity                          v_orb_1                          v_orb_2                    star_1_radius                    star_2_radius                             rl_1                             rl_2                            rl3_1                            rl3_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                     lg_mdot_thin                  lg_mdot_thin_L3                    lg_mdot_thick                 lg_mdot_thick_L3              mass_transfer_alpha               mass_transfer_beta              mass_transfer_delta              mass_transfer_gamma                    xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index                    jdot_beta_min                    jdot_beta_max                 jdot_beta_factor                     jdot_ml_bmin                     jdot_ml_bmax 
                              30          1.1818815689988478E+008          3.9999944192775570E+002          2.8534548412397055E+002          0.0000000000000000E+000          1.7589934028844119E+001          1.8515660776061175E+001          8.9721010928842482E-001          8.4626065318700838E-001          1.0970376794547578E+002          1.0712306586024005E+002          1.4468360275287645E+002          1.4096028349351133E+002         -9.9182151966070708E-001         -9.9210010797962878E-001          9.9999679978413147E-001          9.4999999999999996E-001         -9.8999999999999986E+001         -1.3560015057771306E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.3560015057771306E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.4255492193890236E+000          7.8846729050044084E-001          6.9487875653282809E+052         -5.9089874044238204E+031         -7.6975068336300066E+026         -5.1182201991354372E+026         -2.9544296489117951E+031          5.0670097243872676E+023          0.0000000000000000E+000         -2.9544296489117951E+031                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000         -9.9999999999999997E+098         -2.9544288647155123E+031         -2.9544288647155123E+031 
                              33          2.0459313512300086E+008          3.9999902391242762E+002          2.8534516840471809E+002          0.0000000000000000E+000          1.7589954571297145E+001          1.8515638016512487E+001          8.9963623986506247E-001          8.4835220691436897E-001          1.0970358605339617E+002          1.0712300742401878E+002          1.4468335577849467E+002          1.4096021460732013E+002         -9.9179939077445300E-001         -9.9208057888482926E-001          9.9999440273652274E-001          9.4999999999999996E-001         -9.8999999999999986E+001         -1.3555503780092408E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.3555503780092408E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.4255497224993912E+000          7.8851940567806389E-001          6.9487713353957472E+052         -5.9706956848808628E+031         -7.7601215333731606E+026         -5.1182105226554908E+026         -2.9852834768021236E+031          5.2043944950539354E+023          0.0000000000000000E+000         -2.9852834768021236E+031                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000         -9.9999999999999997E+098         -2.9852820932571498E+031         -2.9852820932571498E+031 
                              36          3.5390093749254543E+008          3.9999829272382726E+002          2.8534461615424078E+002          0.0000000000000000E+000          1.7589990503743405E+001          1.8515598206280828E+001          9.0295102244011027E-001          8.5100124932556631E-001          1.0970326789191684E+002          1.0712290520758027E+002          1.4468292377655663E+002          1.4096009411156152E+002         -9.9176915109466268E-001         -9.9205584232731070E-001          9.9999020989939791E-001          9.4999999999999996E-001         -9.8999999999999986E+001         -1.3549770314985746E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.3549770314985746E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.4255506025259910E+000          7.8860116016930526E-001          6.9487429464698495E+052         -6.0500570804950062E+031         -7.8462191663116484E+026         -5.1181935818011605E+026         -3.0249637451914883E+031          5.4015451550680106E+023          0.0000000000000000E+000         -3.0249637451914883E+031                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000         -9.9999999999999997E+098         -3.0249612904380743E+031         -3.0249612904380743E+031 
                              39          6.1190481998711848E+008          3.9999700701143325E+002          2.8534364509294358E+002          0.0000000000000000E+000          1.7590053686170410E+001          1.8515528206268595E+001          9.0800485819187648E-001          8.5478897821966471E-001          1.0970270844877213E+002          1.0712272547049463E+002          1.4468216416071110E+002          1.4095988223133276E+002         -9.9172304065203742E-001         -9.9202047021801087E-001          9.9998283744776251E-001          9.4999999999999996E-001         -9.8999999999999986E+001         -1.3541280135064660E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.3541280135064660E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.4255521499233330E+000          7.8866855635431354E-001          6.9486930287738518E+052         -6.1695225721616431E+031         -7.9787091539864292E+026         -5.1181637350690882E+026         -3.0846958302362357E+031          5.7039718551726194E+023          0.0000000000000000E+000         -3.0846958302362357E+031                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000         -9.9999999999999997E+098         -3.0846914192173684E+031         -3.0846914192173684E+031 
                              42          1.0577355289377406E+009          3.9999472283958164E+002          2.8534191995170386E+002          0.0000000000000000E+000          1.7590165932573115E+001          1.8515403851251996E+001          9.1646217660118379E-001          8.6082908524324242E-001          1.0970171457768815E+002          1.0712240614971587E+002          1.4468081467576809E+002          1.4095950580239926E+002         -9.9164587189790765E-001         -9.9196406133708270E-001          9.9996974025795093E-001          9.4999999999999996E-001         -9.8999999999999986E+001         -1.3527492103855067E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.3527492103855067E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.4255548989045033E+000          7.8867282873887112E-001          6.9486043491916364E+052         -6.3685857837612382E+031         -8.2037459009593868E+026         -5.1181105119701898E+026         -3.1842263140801844E+031          6.2963259891976420E+023          0.0000000000000000E+000         -3.1842263140801844E+031                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000         -9.9999999999999997E+098         -3.1842181919281857E+031         -3.1842181919281857E+031 
                              45          1.8281309940044155E+009          3.9999058472720361E+002          2.8533879469620319E+002          0.0000000000000000E+000          1.7590369275825850E+001          1.8515178582621250E+001          9.3176455396301749E-001          8.7137565585752397E-001          1.0969991411637251E+002          1.0712182764224406E+002          1.4467836999785254E+002          1.4095882382435198E+002         -9.9150624171888979E-001         -9.9186556395613723E-001          9.9994601464467436E-001          9.4999999999999996E-001         -9.8999999999999986E+001         -1.3503656382469737E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.3503656382469737E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.4255598787721369E+000          7.8861329766370436E-001          6.9484437037978141E+052         -6.7279843216965500E+031         -8.6215993458200244E+026         -5.1180134125537841E+026         -3.3639234999041411E+031          7.4239316220238339E+023          0.0000000000000000E+000         -3.3639234999041411E+031                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000         -9.9999999999999997E+098         -3.3639078356805060E+031         -3.3639078356805060E+031 
                              48          3.1593743576396303E+009          3.9998279767470945E+002          2.8533291395052544E+002          0.0000000000000000E+000          1.7590751897552021E+001          1.8514754741781186E+001          9.6205936062383646E-001          8.9152944499657394E-001          1.0969652632122094E+002          1.0712073897400703E+002          1.4467377003067276E+002          1.4095754040796942E+002         -9.9122981016001666E-001         -9.9167734041479216E-001          9.9990137471837504E-001          9.4999999999999996E-001         -9.8999999999999986E+001         -1.3460148118537688E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.3460148118537688E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.4255692487006137E+000          7.8843793411876162E-001          6.9481414412316530E+052         -7.4371265918002973E+031         -9.4902122024623547E+026         -5.1178282084640086E+026         -3.7184903062806077E+031          1.0116502667318628E+024          0.0000000000000000E+000         -3.7184903062806077E+031                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000         -9.9999999999999997E+098         -3.7184572303548594E+031         -3.7184572303548594E+031 
                              51          5.4597628900012808E+009          3.9996693699132220E+002          2.8532093740026284E+002          0.0000000000000000E+000          1.7591531105387681E+001          1.8513891746386609E+001          1.0319276632494010E+000          9.3552973407448392E-001          1.0968962728284680E+002          1.0711852140543863E+002          1.4466440249050333E+002          1.4095492601486248E+002         -9.9059229492513035E-001         -9.9126640545631184E-001          9.9981048003721606E-001          9.4999999999999996E-001         -9.8999999999999986E+001         -1.3375035128766589E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.3375035128766589E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.4255883285951272E+000          7.8821942246459109E-001          6.9475259524821312E+052         -9.0478047447976936E+031         -1.1711669880070424E+027         -5.1174404155649427E+026         -4.5238183215604646E+031          1.8942619233753951E+024          0.0000000000000000E+000         -4.5238183215604646E+031                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000         -9.9999999999999997E+098         -4.5237337215273057E+031         -4.5237337215273057E+031 
                              54          7.2828115067587214E+009          3.9995084700838714E+002          2.8530878904452231E+002          0.0000000000000000E+000          1.7592321483314574E+001          1.8513016532455175E+001          1.1091096365026185E+000          9.8191850302137340E-001          1.0968262971257923E+002          1.0711627162147738E+002          1.4465490116729546E+002          1.4095227350786800E+002         -9.8988801016707006E-001         -9.9083315272126693E-001          9.9971829883356444E-001          9.4999999999999996E-001         -9.8999999999999986E+001         -1.3258033960741107E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.3258033960741107E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.4256076800323763E+000          7.8872567855239961E-001          6.9469017227402694E+052         -1.1845756582540165E+032         -1.4541624568246448E+027         -5.1171860321921126E+026         -5.9227802234878928E+031          4.5254162604390963E+024          0.0000000000000000E+000         -5.9227802234878928E+031                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000         -9.9999999999999997E+098         -5.9227002641505768E+031         -5.9227002641505768E+031 
                              57          8.3561383385125275E+009          3.9993926233441982E+002          2.8530004302791201E+002          0.0000000000000000E+000          1.7592890505679364E+001          1.8512386514852953E+001          1.1699485321751033E+000          1.0158771724740394E+000          1.0967759215446756E+002          1.0711465171272589E+002          1.4464806115418804E+002          1.4095036355436770E+002         -9.8933283901302849E-001         -9.9051598304965260E-001          9.9965194368901011E-001          9.4999999999999996E-001         -9.8999999999999986E+001         -1.3182743611573375E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.3182743611573375E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.4256216107770618E+000          7.8983041493266026E-001          6.9464523653029672E+052         -1.4088552177203208E+032         -1.7068833690057213E+027         -5.1170093064159593E+026         -7.0441655693071321E+031          8.1984102157809810E+024          0.0000000000000000E+000         -7.0441655693071321E+031                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000         -9.9999999999999997E+098         -7.0441017073216208E+031         -7.0441017073216208E+031 
